time(s),colorTemp,lux,R,G,B
45.14461541175842,28223,63,777,299,229,275
45.31460928916931,29898,61,780,301,229,276
45.46524906158447,27837,63,781,301,230,276
45.623942375183105,27768,62,783,302,230,276
45.79024362564087,27459,63,787,303,231,277
45.94616675376892,27159,64,789,304,232,278
46.10551118850708,24659,65,800,310,235,280
46.25882863998413,24348,65,803,312,236,281
46.421080589294434,22860,66,806,313,237,281
46.57623529434204,22315,67,813,317,239,283
46.740281105041504,21531,68,808,314,238,281
46.894091844558716,21118,68,814,317,240,283
47.04354453086853,22664,67,808,314,238,282
47.21585536003113,21198,69,814,316,240,283
47.375489473342896,22664,67,809,314,238,282
47.525763750076294,21198,69,813,316,240,283
47.67939496040344,20803,69,821,319,242,285
47.84695339202881,21362,68,811,315,239,282
47.99475860595703,20803,69,821,319,242,285
48.1564736366272,21362,68,810,315,239,282
48.32504487037659,20803,69,821,319,242,285
48.48190975189209,21198,69,814,316,240,283
48.627480030059814,21198,69,815,316,240,283
48.8009512424469,20803,69,819,319,242,285
48.95574760437012,22473,67,811,315,239,283
49.11647033691406,20958,69,816,318,241,284
49.2753427028656,21276,69,812,315,240,283
49.42854332923889,20803,69,819,319,242,285
49.5885374546051,21037,69,816,317,241,284
49.740968227386475,21276,69,812,315,240,283
49.91102123260498,19777,71,821,319,243,285
50.07042336463928,22473,67,812,315,239,283
50.2260901927948,20803,69,821,319,242,285
50.38537573814392,22394,67,812,316,239,283
50.545177698135376,21118,68,814,317,240,283
50.70097637176514,22473,67,812,315,239,283
50.86042070388794,24575,66,800,309,236,281
51.017524003982544,26585,65,794,306,234,280
51.168673038482666,27228,64,788,303,232,278
51.32741594314575,26443,64,797,308,234,280
51.483715295791626,27629,62,784,304,230,276
51.64881157875061,26018,63,783,304,230,275
51.801039934158325,23699,64,794,309,233,277
51.97078251838684,25671,63,787,306,231,276
52.13021230697632,23108,65,802,313,235,279
